id;artist_name;artist_popularity;artist_followers;artist_genres
24hJWbo98sH84tb0nkeaqy;Michael McDonald;60;254924;mellow gold,quiet storm,soft rock,yacht rock
24icoQNJSEWNu3XvqKBR68;Jordan Rakei;66;197798;alternative r&b,indie jazz,indie r&b,indie soul,neo r&b,neo soul,soul
253GMpCNwx1TJtASNAeDoP;Kurt Rosenwinkel;43;37515;bebop,contemporary jazz,contemporary post-bop,cool jazz,jazz,jazz fusion,jazz guitar
284mnx33IWcymQEpMxyfHl;Modest Mussorgsky;50;37613;late romantic era,russian romanticism
29WzbAQtDnBJF09es0uddn;Corinne Bailey Rae;68;526213;british soul,neo mellow,neo soul,soul
29XOeO6KIWxGthejQqn793;Flying Lotus;64;533835;afrofuturism,alternative hip hop,electronica,escape room,experimental hip hop,glitch,glitch hop,hip hop,intelligent dance music,jazztronica,psychedelic hip hop,wonky
2AL02x65Azh5v7Drur4KNp;Maxim Vengerov;40;24742;classical performance,violin
2AOt5htsbtyaHd5Eq3kl3j;Maxwell;62;1004594;dance pop,funk,hip pop,neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary
2AV6XDIs32ofIJhkkDevjm;Curtis Mayfield;64;677498;chicago soul,classic soul,disco,funk,neo soul,soul
2AdaJlzNcOpdrvMSBN92Wp;Ella Jenkins;36;5065;children's folk,kindie rock,preschool children's music
2CvCyf1gEVhI0mX6aFXmVI;Paul Simon;74;1314546;classic rock,folk,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,soft rock
2DzRMyWgjuMbYvt5BLbpCo;Anthony Hamilton;64;968397;neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary
2ETJpexAxlTPCT6BXHJG1w;Dom Salvador;21;3869;bossa nova,brazilian jazz,brazilian soul,piano mpb
2EsmKkHsXK0WMNGOtIhbxr;McCoy Tyner;53;78082;avant-garde jazz,bebop,contemporary jazz,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz fusion,jazz piano,soul jazz,stride
2FMOHE79X98yptp4RpPrt7;PJ Morton;59;95133;gospel,indie r&b,indie soul,neo r&b,neo soul,r&b,urban contemporary
2FjkZT851ez950cyPjeYid;Bobby McFerrin;61;123689;a cappella
2FwDTncULUnmANIh7qKa5z;FKJ;72;720274;filter house,indie soul
2GHclqNVjqGuiE5mA7BEoc;Common;67;610851;alternative hip hop,chicago rap,conscious hip hop,gangster rap,hip hop,neo soul,rap,southern hip hop
2GVBp7QyHckoOg7rYkLvrA;George Clinton;60;250643;funk,p funk,soul
2GnVLxaoRbeDnePTgWrE7K;Emotions;8;100;
2Hkut4rAAyrQxRdof7FVJq;Rush;71;1335090;album rock,art rock,canadian metal,classic canadian rock,classic rock,hard rock,metal,progressive rock,rock
2HvyR5FsU37QMqVzIbGwl7;Mercedes Sosa;63;475942;cantautor,folklore argentino,nueva cancion,rock en espanol,rock nacional,trova
2IEnjZsVDEPKUTxNinyqba;Tiffany Gouché;51;22259;
2JRvXPGWiINrnJljNJhG5s;The Meters;58;157294;afrobeat,classic soul,funk,instrumental soul,jazz funk,new orleans funk,soul,southern soul
2JfVCMa3FlvQRlLT5uH9zb;Nancy Wilson;53;116065;adult standards,cool jazz,jazz,lounge,soul,vocal jazz
2JyWXPbkqI5ZJa3gwqVa0c;Craig David;70;563976;british soul,dance pop,pop,pop rap,r&b,tropical house,urban contemporary
2K1iGjjn5wjpOHhpeU9Cy0;Amy Keys;16;244;
2KkoeJkkFr802J5gPjlRGs;Alaíde Costa;29;4770;bossa nova,velha guarda
2Kx7MNY7cI1ENniW7vT30N;Norah Jones;76;2178191;adult standards,contemporary vocal jazz,neo mellow,vocal jazz
2LmyJyCF5V1eQyvHgJNbTn;Leonard Bernstein;65;115348;american modern classical,classical,classical performance,orchestral performance
2Mu5NfyYm8n5iTomuKAEHl;Ms. Lauryn Hill;72;1481332;conscious hip hop,dance pop,hip pop,neo soul,new jersey rap,pop,r&b,urban contemporary
2NOhotupwYbKRNJF7LMDPG;The Jon Spencer Blues Explosion;48;64531;blues rock,garage rock,punk blues
2NP50ENqlZBVRjPjgTpXmz;Foley;1;0;
2NWuUOptHRTogSZghYspAE;Jack Dine;54;1991;
2O2dI9lY9PnWtAa4OlrgMi;Pell;57;77189;deep underground hip hop,indie pop rap,underground hip hop
2OeN0JVfTWYog354hHhQ2S;Paul Jackson, Jr.;46;10666;smooth jazz
2OpXRV68ugAWR3OmsuCyVT;Gemstones;34;5794;
2QOP6zKx1d0gGEtuuXOvJ3;Nick Grant;42;24721;atl hip hop
2QjVv1gkLn8XkQxVndgLHF;Bill Laurance;37;29584;contemporary jazz
2QobOeybSvyibNUGIobnlP;Leland Whitty;36;665;
2QsynagSdAqZj3U9HgDzjD;Bob Marley & The Wailers;84;8130006;reggae
2RP4pPHTXlQpDnO9LvR7Yt;Lianne La Havas;67;550061;british soul,indie r&b,indie soul,neo soul,soul
2ReTnNzaUAM6RgKCtlvMPf;Chick Corea Elektric Band;35;69464;jazz funk,jazz fusion
2SNzxY1OsSCHBLVi77mpPQ;Joe Bonamassa;63;564366;blues rock,electric blues,modern blues,modern blues rock
